timestamp,city,aqi,weather_condition,wind_speed,humidity,temperature,uv_index,pm25,pm10,o3,no2,so2,co
2025-03-13T10:49:12.697604+07:00,Bắc Ninh,72,Patchy rain nearby,12 km/h,88 %,23°C,2,20 µg/m³,35 µg/m³,9 ppb,12 ppb,4 ppb,245 ppb
2025-03-13T11:15:25.736745+07:00,Bắc Ninh,72,Patchy rain nearby,12 km/h,88 %,23°C,2,20 µg/m³,35 µg/m³,9 ppb,12 ppb,4 ppb,245 ppb
2025-03-13T12:13:07.825169+07:00,Bắc Ninh,71,Patchy rain nearby,12 km/h,88 %,23°C,2,20 µg/m³,33 µg/m³,8 ppb,13 ppb,3 ppb,243 ppb
2025-03-13T13:17:59.871546+07:00,Bắc Ninh,68,Light rain,14 km/h,94 %,24°C,3,18 µg/m³,35 µg/m³,10 ppb,18 ppb,5 ppb,217 ppb
2025-03-13T14:12:51.130145+07:00,Bắc Ninh,68,Light rain,14 km/h,94 %,24°C,3,18 µg/m³,35 µg/m³,10 ppb,18 ppb,5 ppb,217 ppb
2025-03-13T15:17:37.621264+07:00,Bắc Ninh,63,Light rain,14 km/h,94 %,24°C,3,15 µg/m³,33 µg/m³,11 ppb,13 ppb,4 ppb,173 ppb
2025-03-13T16:14:02.523326+07:00,Bắc Ninh,63,Light rain,14 km/h,94 %,24°C,3,15 µg/m³,33 µg/m³,11 ppb,13 ppb,4 ppb,173 ppb
2025-03-13T17:14:05.301830+07:00,Bắc Ninh,59,Overcast,19 km/h,94 %,24°C,2,14 µg/m³,28 µg/m³,12 ppb,12 ppb,5 ppb,217 ppb
2025-03-13T18:11:20.845903+07:00,Bắc Ninh,55,Overcast,23 km/h,89 %,24°C,0,11 µg/m³,31 µg/m³,12 ppb,13 ppb,4 ppb,263 ppb
2025-03-13T19:24:10.126526+07:00,Bắc Ninh,55,Overcast,23 km/h,89 %,24°C,0,11 µg/m³,31 µg/m³,12 ppb,13 ppb,4 ppb,263 ppb
2025-03-13T20:22:14.769479+07:00,Bắc Ninh,62,Overcast,22 km/h,94 %,23°C,0,15 µg/m³,38 µg/m³,11 ppb,16 ppb,5 ppb,280 ppb
