timestamp,city,aqi,weather_condition,wind_speed,humidity,temperature,uv_index,pm25,pm10,o3,no2,so2,co
2025-03-13T10:48:53.269976+07:00,Đà Nẵng,66,Partly cloudy,7 km/h,84 %,27°C,6,17 µg/m³,49 µg/m³,12 ppb,14 ppb,16 ppb,428 ppb
2025-03-13T11:15:07.137353+07:00,Đà Nẵng,66,Partly cloudy,7 km/h,84 %,27°C,6,17 µg/m³,49 µg/m³,12 ppb,14 ppb,16 ppb,428 ppb
2025-03-13T12:12:44.873741+07:00,Đà Nẵng,63,Partly cloudy,7 km/h,84 %,27°C,6,16 µg/m³,49 µg/m³,12 ppb,14 ppb,14 ppb,400 ppb
2025-03-13T13:17:37.085410+07:00,Đà Nẵng,66,Partly cloudy,16 km/h,70 %,30°C,13,17 µg/m³,48 µg/m³,14 ppb,18 ppb,12 ppb,367 ppb
2025-03-13T14:12:32.551345+07:00,Đà Nẵng,66,Partly cloudy,16 km/h,70 %,30°C,13,17 µg/m³,48 µg/m³,14 ppb,18 ppb,12 ppb,367 ppb
2025-03-13T15:17:16.152344+07:00,Đà Nẵng,47,Partly cloudy,17 km/h,74 %,28°C,8,8 µg/m³,42 µg/m³,13 ppb,13 ppb,10 ppb,274 ppb
2025-03-13T16:13:43.586851+07:00,Đà Nẵng,47,Partly cloudy,17 km/h,74 %,28°C,8,8 µg/m³,42 µg/m³,13 ppb,13 ppb,10 ppb,274 ppb
2025-03-13T17:13:46.148556+07:00,Đà Nẵng,42,Partly cloudy,17 km/h,74 %,28°C,8,8 µg/m³,38 µg/m³,15 ppb,15 ppb,14 ppb,312 ppb
2025-03-13T18:10:59.978039+07:00,Đà Nẵng,34,Partly cloudy,16 km/h,74 %,28°C,5,6 µg/m³,38 µg/m³,14 ppb,15 ppb,15 ppb,494 ppb
2025-03-13T19:23:50.579041+07:00,Đà Nẵng,34,Partly cloudy,16 km/h,74 %,28°C,5,6 µg/m³,38 µg/m³,14 ppb,15 ppb,15 ppb,494 ppb
2025-03-13T20:21:55.915540+07:00,Đà Nẵng,44,Partly cloudy,5 km/h,84 %,26°C,0,6 µg/m³,49 µg/m³,12 ppb,18 ppb,20 ppb,460 ppb
2025-03-13T21:12:17.411391+07:00,Đà Nẵng,44,Partly cloudy,5 km/h,84 %,26°C,0,6 µg/m³,49 µg/m³,12 ppb,18 ppb,20 ppb,460 ppb
2025-03-13T22:14:09.041248+07:00,Đà Nẵng,44,Partly cloudy,4 km/h,84 %,26°C,0,7 µg/m³,46 µg/m³,12 ppb,16 ppb,16 ppb,328 ppb
2025-03-13T23:15:36.969455+07:00,Đà Nẵng,66,Partly cloudy,4 km/h,84 %,26°C,0,17 µg/m³,31 µg/m³,15 ppb,14 ppb,10 ppb,396 ppb
2025-03-14T00:10:27.819912+07:00,Đà Nẵng,66,Partly cloudy,4 km/h,84 %,26°C,0,17 µg/m³,31 µg/m³,15 ppb,14 ppb,10 ppb,396 ppb
2025-03-14T01:16:48.414764+07:00,Đà Nẵng,46,Partly cloudy,10 km/h,89 %,26°C,0,8 µg/m³,33 µg/m³,14 ppb,21 ppb,18 ppb,424 ppb
