timestamp,city,aqi,weather_condition,wind_speed,humidity,temperature,uv_index,pm25,pm10,o3,no2,so2,co
2025-03-13T10:48:58.047728+07:00,Hải Phòng,66,Patchy rain nearby,12 km/h,87 %,23°C,2,17 µg/m³,30 µg/m³,9 ppb,13 ppb,4 ppb,422 ppb
2025-03-13T11:15:11.419853+07:00,Hải Phòng,66,Patchy rain nearby,12 km/h,87 %,23°C,2,17 µg/m³,30 µg/m³,9 ppb,13 ppb,4 ppb,422 ppb
2025-03-13T12:12:51.062768+07:00,Hải Phòng,66,Patchy rain nearby,12 km/h,87 %,23°C,2,17 µg/m³,30 µg/m³,9 ppb,13 ppb,4 ppb,422 ppb
2025-03-13T13:17:42.613357+07:00,Hải Phòng,66,Patchy rain nearby,12 km/h,92 %,23°C,2,17 µg/m³,34 µg/m³,10 ppb,15 ppb,4 ppb,397 ppb
2025-03-13T14:12:36.775958+07:00,Hải Phòng,66,Patchy rain nearby,12 km/h,92 %,23°C,2,17 µg/m³,34 µg/m³,10 ppb,15 ppb,4 ppb,397 ppb
2025-03-13T15:17:22.235920+07:00,Hải Phòng,63,Patchy rain nearby,12 km/h,92 %,23°C,2,15 µg/m³,33 µg/m³,9 ppb,11 ppb,4 ppb,376 ppb
2025-03-13T16:13:47.928728+07:00,Hải Phòng,63,Patchy rain nearby,12 km/h,92 %,23°C,2,15 µg/m³,33 µg/m³,9 ppb,11 ppb,4 ppb,376 ppb
2025-03-13T17:13:51.498992+07:00,Hải Phòng,56,Patchy rain nearby,12 km/h,91 %,23°C,2,12 µg/m³,29 µg/m³,11 ppb,12 ppb,6 ppb,383 ppb
2025-03-13T18:11:04.374142+07:00,Hải Phòng,56,Patchy rain nearby,12 km/h,91 %,23°C,2,12 µg/m³,29 µg/m³,11 ppb,12 ppb,6 ppb,383 ppb
2025-03-13T19:23:55.267628+07:00,Hải Phòng,55,Cloudy,14 km/h,91 %,22°C,0,11 µg/m³,26 µg/m³,10 ppb,13 ppb,3 ppb,543 ppb
2025-03-13T20:21:59.321667+07:00,Hải Phòng,60,Cloudy,14 km/h,91 %,22°C,0,14 µg/m³,37 µg/m³,8 ppb,13 ppb,6 ppb,556 ppb
2025-03-13T21:12:22.146207+07:00,Hải Phòng,60,Mist,10 km/h,95 %,22°C,0,14 µg/m³,36 µg/m³,10 ppb,13 ppb,4 ppb,531 ppb
