timestamp,city,aqi,weather_condition,wind_speed,humidity,temperature,uv_index,pm25,pm10,o3,no2,so2,co
2025-03-13T10:48:48.305735+07:00,Hồ Chí Minh,31,Sunny,20 km/h,53 %,31°C,6,5 µg/m³,30 µg/m³,9 ppb,10 ppb,8 ppb,355 ppb
2025-03-13T11:15:03.174364+07:00,Hồ Chí Minh,31,Sunny,20 km/h,53 %,31°C,6,5 µg/m³,30 µg/m³,9 ppb,10 ppb,8 ppb,355 ppb
2025-03-13T12:12:38.727504+07:00,Hồ Chí Minh,30,Sunny,19 km/h,56 %,32°C,10,5 µg/m³,25 µg/m³,9 ppb,9 ppb,13 ppb,334 ppb
2025-03-13T13:17:31.629512+07:00,Hồ Chí Minh,27,Partly cloudy,14 km/h,47 %,34°C,14,4 µg/m³,26 µg/m³,10 ppb,11 ppb,12 ppb,346 ppb
2025-03-13T14:12:28.376559+07:00,Hồ Chí Minh,27,Partly cloudy,14 km/h,47 %,34°C,14,4 µg/m³,26 µg/m³,10 ppb,11 ppb,12 ppb,346 ppb
2025-03-13T15:17:10.213230+07:00,Hồ Chí Minh,32,Sunny,14 km/h,44 %,35°C,13,6 µg/m³,22 µg/m³,11 ppb,10 ppb,10 ppb,306 ppb
2025-03-13T16:13:38.740464+07:00,Hồ Chí Minh,32,Sunny,14 km/h,44 %,35°C,13,6 µg/m³,22 µg/m³,11 ppb,10 ppb,10 ppb,306 ppb
2025-03-13T17:13:41.338779+07:00,Hồ Chí Minh,40,Partly cloudy,28 km/h,47 %,34°C,2,5 µg/m³,44 µg/m³,10 ppb,10 ppb,11 ppb,502 ppb
2025-03-13T18:10:54.492428+07:00,Hồ Chí Minh,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
2025-03-13T19:23:46.388706+07:00,Hồ Chí Minh,39,Clear,23 km/h,49 %,32°C,0,7 µg/m³,25 µg/m³,11 ppb,11 ppb,8 ppb,392 ppb
2025-03-13T20:21:49.908963+07:00,Hồ Chí Minh,39,Clear,23 km/h,49 %,32°C,0,7 µg/m³,25 µg/m³,11 ppb,11 ppb,8 ppb,392 ppb
2025-03-13T21:12:13.711270+07:00,Hồ Chí Minh,37,Clear,21 km/h,59 %,31°C,0,7 µg/m³,26 µg/m³,10 ppb,9 ppb,8 ppb,357 ppb
