timestamp,city,aqi,weather_condition,wind_speed,humidity,temperature,uv_index,pm25,pm10,o3,no2,so2,co
2025-03-13T10:49:07.889844+07:00,Sơn La,60,Sunny,7 km/h,49 %,28°C,7,14 µg/m³,29 µg/m³,17 ppb,19 ppb,5 ppb,507 ppb
2025-03-13T11:15:20.861730+07:00,Sơn La,58,Sunny,7 km/h,49 %,28°C,7,13 µg/m³,30 µg/m³,14 ppb,15 ppb,4 ppb,471 ppb
2025-03-13T12:13:02.733368+07:00,Sơn La,58,Sunny,7 km/h,49 %,28°C,7,13 µg/m³,30 µg/m³,14 ppb,15 ppb,4 ppb,471 ppb
2025-03-13T13:17:53.906522+07:00,Sơn La,58,Patchy rain nearby,8 km/h,32 %,32°C,9,13 µg/m³,28 µg/m³,15 ppb,12 ppb,4 ppb,465 ppb
2025-03-13T14:12:46.371866+07:00,Sơn La,58,Patchy rain nearby,8 km/h,32 %,32°C,9,13 µg/m³,28 µg/m³,15 ppb,12 ppb,4 ppb,465 ppb
2025-03-13T15:17:32.507756+07:00,Sơn La,56,Patchy rain nearby,8 km/h,32 %,32°C,9,12 µg/m³,25 µg/m³,17 ppb,15 ppb,4 ppb,426 ppb
2025-03-13T16:13:57.490084+07:00,Sơn La,56,Patchy rain nearby,8 km/h,32 %,32°C,9,12 µg/m³,25 µg/m³,17 ppb,15 ppb,4 ppb,426 ppb
2025-03-13T17:14:00.985053+07:00,Sơn La,50,Sunny,8 km/h,28 %,32°C,2,9 µg/m³,27 µg/m³,16 ppb,15 ppb,3 ppb,417 ppb
2025-03-13T18:11:15.124722+07:00,Sơn La,50,Sunny,8 km/h,28 %,32°C,2,9 µg/m³,27 µg/m³,16 ppb,15 ppb,3 ppb,417 ppb
2025-03-13T19:24:05.094774+07:00,Sơn La,84,Sunny,9 km/h,33 %,30°C,0,27 µg/m³,44 µg/m³,15 ppb,16 ppb,6 ppb,421 ppb
2025-03-13T20:22:09.556222+07:00,Sơn La,84,Sunny,9 km/h,33 %,30°C,0,27 µg/m³,44 µg/m³,15 ppb,16 ppb,6 ppb,421 ppb
2025-03-13T21:12:29.900000+07:00,Sơn La,84,Sunny,9 km/h,33 %,30°C,0,27 µg/m³,44 µg/m³,15 ppb,16 ppb,6 ppb,421 ppb
2025-03-13T22:14:24.027532+07:00,Sơn La,73,Sunny,12 km/h,38 %,28°C,0,21 µg/m³,48 µg/m³,17 ppb,17 ppb,4 ppb,466 ppb
2025-03-13T23:15:53.453479+07:00,Sơn La,83,Clear,12 km/h,69 %,22°C,0,26 µg/m³,48 µg/m³,13 ppb,23 ppb,5 ppb,483 ppb
2025-03-14T00:10:42.715678+07:00,Sơn La,83,Clear,12 km/h,69 %,22°C,0,26 µg/m³,48 µg/m³,13 ppb,23 ppb,5 ppb,483 ppb
2025-03-14T01:17:03.821144+07:00,Sơn La,55,Clear,8 km/h,85 %,20°C,0,11 µg/m³,29 µg/m³,17 ppb,16 ppb,5 ppb,447 ppb
2025-03-14T02:10:37.271873+07:00,Sơn La,55,Clear,8 km/h,85 %,20°C,0,11 µg/m³,29 µg/m³,17 ppb,16 ppb,5 ppb,447 ppb
2025-03-14T03:15:41.242759+07:00,Sơn La,65,Clear,8 km/h,85 %,20°C,0,17 µg/m³,28 µg/m³,17 ppb,13 ppb,3 ppb,427 ppb
2025-03-14T04:11:58.629695+07:00,Sơn La,65,Clear,8 km/h,85 %,20°C,0,17 µg/m³,28 µg/m³,17 ppb,13 ppb,3 ppb,427 ppb
2025-03-14T05:11:33.102925+07:00,Sơn La,65,Clear,8 km/h,85 %,20°C,0,17 µg/m³,28 µg/m³,17 ppb,13 ppb,3 ppb,427 ppb
2025-03-14T06:12:05.445431+07:00,Sơn La,59,Clear,8 km/h,90 %,19°C,0,13 µg/m³,28 µg/m³,16 ppb,12 ppb,4 ppb,466 ppb
